Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,class,data,method,model
0.868421052631579,0.9644444444444444,0.8048780487804877,0.9774774774774776,0.8048780487804879,0.868421052631579,0.8354430379746836,0.1444866920152091,0.12547528517110265,0.155893536121673,0.9164327485380117,CMS1,TCGA,Euclidean,DTC
0.8679245283018868,0.9044585987261147,0.8598130841121495,0.9102564102564102,0.8598130841121495,0.8679245283018868,0.863849765258216,0.40304182509505704,0.34980988593155893,0.4068441064638783,0.8861915635140007,CMS2,TCGA,Euclidean,DTC
0.7931034482758621,0.9700854700854701,0.7666666666666666,0.9742489270386266,0.7666666666666667,0.7931034482758621,0.7796610169491527,0.11026615969581749,0.08745247148288973,0.11406844106463879,0.8815944591806661,CMS3,TCGA,Euclidean,DTC
0.8571428571428571,0.9516908212560387,0.8275862068965517,0.9609756097560975,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.21292775665399238,0.18250950570342206,0.22053231939163498,0.9044168391994478,CMS4,TCGA,Euclidean,DTC
0.35294117647058826,0.9344978165938864,0.44444444444444425,0.9067796610169492,0.4444444444444444,0.35294117647058826,0.39344262295081966,0.12927756653992395,0.045627376425855515,0.10266159695817491,0.6437194965322374,NOLBL,TCGA,Euclidean,DTC
0.8157894736842105,0.9511111111111111,0.738095238095238,0.9683257918552036,0.7380952380952381,0.8157894736842105,0.775,0.1444866920152091,0.11787072243346007,0.1596958174904943,0.8834502923976608,CMS1,TCGA,Manhattan,DTC
0.8490566037735849,0.8726114649681529,0.8181818181818182,0.8954248366013072,0.8181818181818182,0.8490566037735849,0.8333333333333334,0.40304182509505704,0.34220532319391633,0.41825095057034223,0.8608340343708689,CMS2,TCGA,Manhattan,DTC
0.7241379310344828,0.9572649572649573,0.6774193548387099,0.9655172413793103,0.6774193548387096,0.7241379310344828,0.7,0.11026615969581749,0.07984790874524715,0.11787072243346007,0.84070144414972,CMS3,TCGA,Manhattan,DTC
0.7321428571428571,0.9516908212560387,0.803921568627451,0.9292452830188679,0.803921568627451,0.7321428571428571,0.766355140186916,0.21292775665399238,0.155893536121673,0.19391634980988592,0.8419168391994478,CMS4,TCGA,Manhattan,DTC
0.29411764705882354,0.9170305676855895,0.34482758620689663,0.8974358974358975,0.3448275862068966,0.29411764705882354,0.31746031746031744,0.12927756653992395,0.03802281368821293,0.11026615969581749,0.6055741073722065,NOLBL,TCGA,Manhattan,DTC
0.9473684210526315,0.8977777777777778,0.6101694915254237,0.9901960784313726,0.6101694915254238,0.9473684210526315,0.7422680412371134,0.1444866920152091,0.13688212927756654,0.22433460076045628,0.9225730994152046,CMS1,TCGA,Canberra,DTC
0,1,NA,0.596958174904943,NA,0,NA,0.40304182509505704,0,0,0.5,CMS2,TCGA,Canberra,DTC
0.9655172413793104,0.6837606837606838,0.2745098039215686,0.9937888198757764,0.27450980392156865,0.9655172413793104,0.4274809160305344,0.11026615969581749,0.10646387832699619,0.38783269961977185,0.824638962569997,CMS3,TCGA,Canberra,DTC
0.17857142857142858,0.9951690821256038,0.9090909090909087,0.8174603174603174,0.9090909090909091,0.17857142857142858,0.2985074626865672,0.21292775665399238,0.03802281368821293,0.04182509505703422,0.5868702553485162,CMS4,TCGA,Canberra,DTC
0.4117647058823529,0.6637554585152838,0.15384615384615383,0.8837209302325582,0.15384615384615385,0.4117647058823529,0.224,0.12927756653992395,0.053231939163498096,0.34600760456273766,0.5377600821988184,NOLBL,TCGA,Canberra,DTC
0.868421052631579,0.9644444444444444,0.8048780487804877,0.9774774774774776,0.8048780487804879,0.868421052631579,0.8354430379746836,0.1444866920152091,0.12547528517110265,0.155893536121673,0.9164327485380117,CMS1,TCGA,Minkowski,DTC
0.8679245283018868,0.9044585987261147,0.8598130841121495,0.9102564102564102,0.8598130841121495,0.8679245283018868,0.863849765258216,0.40304182509505704,0.34980988593155893,0.4068441064638783,0.8861915635140007,CMS2,TCGA,Minkowski,DTC
0.7931034482758621,0.9700854700854701,0.7666666666666666,0.9742489270386266,0.7666666666666667,0.7931034482758621,0.7796610169491527,0.11026615969581749,0.08745247148288973,0.11406844106463879,0.8815944591806661,CMS3,TCGA,Minkowski,DTC
0.8571428571428571,0.9516908212560387,0.8275862068965517,0.9609756097560975,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.21292775665399238,0.18250950570342206,0.22053231939163498,0.9044168391994478,CMS4,TCGA,Minkowski,DTC
0.35294117647058826,0.9344978165938864,0.44444444444444425,0.9067796610169492,0.4444444444444444,0.35294117647058826,0.39344262295081966,0.12927756653992395,0.045627376425855515,0.10266159695817491,0.6437194965322374,NOLBL,TCGA,Minkowski,DTC
0.8421052631578947,0.9422222222222222,0.7111111111111109,0.9724770642201835,0.7111111111111111,0.8421052631578947,0.7710843373493975,0.1444866920152091,0.12167300380228137,0.17110266159695817,0.8921637426900584,CMS1,NS,Euclidean,DTC
0.6320754716981132,0.89171974522293,0.7976190476190477,0.7821229050279329,0.7976190476190477,0.6320754716981132,0.7052631578947369,0.40304182509505704,0.25475285171102663,0.3193916349809886,0.7618976084605216,CMS2,NS,Euclidean,DTC
0.7241379310344828,0.9444444444444444,0.6176470588235293,0.965065502183406,0.6176470588235294,0.7241379310344828,0.6666666666666667,0.11026615969581749,0.07984790874524715,0.12927756653992395,0.8342911877394636,CMS3,NS,Euclidean,DTC
0.7321428571428571,0.9420289855072463,0.7735849056603772,0.9285714285714285,0.7735849056603774,0.7321428571428571,0.7522935779816513,0.21292775665399238,0.155893536121673,0.20152091254752852,0.8370859213250517,CMS4,NS,Euclidean,DTC
0.3235294117647059,0.8427947598253275,0.23404255319148934,0.8935185185185185,0.23404255319148937,0.3235294117647059,0.271604938271605,0.12927756653992395,0.04182509505703422,0.17870722433460076,0.5831620857950167,NOLBL,NS,Euclidean,DTC
0.8157894736842105,0.9111111111111111,0.6078431372549019,0.96698113207547165,0.6078431372549019,0.8157894736842105,0.6966292134831461,0.1444866920152091,0.11787072243346007,0.19391634980988592,0.8634502923976608,CMS1,NS,Manhattan,DTC
0.6415094339622641,0.8853503184713376,0.7906976744186047,0.7853107344632768,0.7906976744186046,0.6415094339622641,0.7083333333333334,0.40304182509505704,0.2585551330798479,0.3269961977186312,0.7634298762168008,CMS2,NS,Manhattan,DTC
0.6551724137931034,0.9444444444444444,0.5937499999999999,0.9567099567099567,0.59375,0.6551724137931034,0.6229508196721311,0.11026615969581749,0.07224334600760456,0.12167300380228137,0.7998084291187739,CMS3,NS,Manhattan,DTC
0.7142857142857143,0.9371980676328503,0.7547169811320756,0.9238095238095239,0.7547169811320755,0.7142857142857143,0.7339449541284405,0.21292775665399238,0.1520912547528517,0.20152091254752852,0.8257418909592823,CMS4,NS,Manhattan,DTC
0.29411764705882354,0.8646288209606987,0.24390243902439027,0.8918918918918919,0.24390243902439024,0.29411764705882354,0.2666666666666666,0.12927756653992395,0.03802281368821293,0.155893536121673,0.5793732340097612,NOLBL,NS,Manhattan,DTC
0.8157894736842105,0.9066666666666666,0.596153846153846,0.966824644549763,0.5961538461538461,0.8157894736842105,0.6888888888888889,0.1444866920152091,0.11787072243346007,0.19771863117870722,0.8612280701754386,CMS1,NS,Canberra,DTC
0.5471698113207547,0.9171974522292994,0.8169014084507042,0.75,0.8169014084507042,0.5471698113207547,0.6553672316384181,0.40304182509505704,0.22053231939163498,0.26996197718631176,0.732183631775027,CMS2,NS,Canberra,DTC
0.6551724137931034,0.9316239316239316,0.5428571428571429,0.956140350877193,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.11026615969581749,0.07224334600760456,0.13307984790874525,0.7933981727085175,CMS3,NS,Canberra,DTC
0.7678571428571429,0.893719806763285,0.6615384615384615,0.9343434343434344,0.6615384615384615,0.7678571428571429,0.7107438016528925,0.21292775665399238,0.1634980988593156,0.24714828897338403,0.8307884748102139,CMS4,NS,Canberra,DTC
0.20588235294117646,0.8558951965065502,0.175,0.8789237668161435,0.175,0.20588235294117646,0.18918918918918917,0.12927756653992395,0.026615969581749048,0.1520912547528517,0.5308887747238633,NOLBL,NS,Canberra,DTC
0.8421052631578947,0.9422222222222222,0.7111111111111109,0.9724770642201835,0.7111111111111111,0.8421052631578947,0.7710843373493975,0.1444866920152091,0.12167300380228137,0.17110266159695817,0.8921637426900584,CMS1,NS,Minkowski,DTC
0.6320754716981132,0.89171974522293,0.7976190476190477,0.7821229050279329,0.7976190476190477,0.6320754716981132,0.7052631578947369,0.40304182509505704,0.25475285171102663,0.3193916349809886,0.7618976084605216,CMS2,NS,Minkowski,DTC
0.7241379310344828,0.9444444444444444,0.6176470588235293,0.965065502183406,0.6176470588235294,0.7241379310344828,0.6666666666666667,0.11026615969581749,0.07984790874524715,0.12927756653992395,0.8342911877394636,CMS3,NS,Minkowski,DTC
0.7321428571428571,0.9420289855072463,0.7735849056603772,0.9285714285714285,0.7735849056603774,0.7321428571428571,0.7522935779816513,0.21292775665399238,0.155893536121673,0.20152091254752852,0.8370859213250517,CMS4,NS,Minkowski,DTC
0.3235294117647059,0.8427947598253275,0.23404255319148934,0.8935185185185185,0.23404255319148937,0.3235294117647059,0.271604938271605,0.12927756653992395,0.04182509505703422,0.17870722433460076,0.5831620857950167,NOLBL,NS,Minkowski,DTC
