Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,class,data,k,model
0.8421052631578947,0.9866666666666667,0.9142857142857144,0.9736842105263158,0.9142857142857143,0.8421052631578947,0.87671232876712335,0.1444866920152091,0.12167300380228137,0.13307984790874525,0.9143859649122807,CMS1,TCGA,3,kNN
0.9528301886792453,0.6496815286624203,0.6474358974358975,0.9532710280373832,0.6474358974358975,0.9528301886792453,0.7709923664122137,0.40304182509505704,0.3840304182509506,0.5931558935361216,0.8012558586708328,CMS2,TCGA,3,kNN
0.41379310344827586,0.9615384615384616,0.5714285714285715,0.9297520661157025,0.5714285714285714,0.41379310344827586,0.48000000000000004,0.11026615969581749,0.045627376425855515,0.07984790874524715,0.6876657824933687,CMS3,TCGA,3,kNN
0.5892857142857143,0.9565217391304348,0.7857142857142858,0.8959276018099548,0.7857142857142857,0.5892857142857143,0.6734693877551021,0.21292775665399238,0.12547528517110265,0.1596958174904943,0.7729037267080745,CMS4,TCGA,3,kNN
0.14705882352941177,0.982532751091703,0.5555555555555549,0.8858267716535434,0.5555555555555556,0.14705882352941177,0.23255813953488372,0.12927756653992395,0.019011406844106463,0.034220532319391636,0.5647957873105574,NOLBL,TCGA,3,kNN
0.8157894736842105,0.9866666666666667,0.911764705882353,0.9694323144104804,0.9117647058823529,0.8157894736842105,0.861111111111111,0.1444866920152091,0.11787072243346007,0.12927756653992395,0.9012280701754386,CMS1,TCGA,5,kNN
0.9622641509433962,0.643312101910828,0.6455696202531646,0.9619047619047618,0.6455696202531646,0.9622641509433962,0.7727272727272728,0.40304182509505704,0.38783269961977185,0.6007604562737643,0.8027881264271122,CMS2,TCGA,5,kNN
0.5517241379310345,0.9743589743589743,0.7272727272727271,0.9460580912863071,0.7272727272727273,0.5517241379310345,0.6274509803921569,0.11026615969581749,0.060836501901140684,0.08365019011406843,0.7630415561450044,CMS3,TCGA,5,kNN
0.5892857142857143,0.9565217391304348,0.7857142857142858,0.8959276018099548,0.7857142857142857,0.5892857142857143,0.6734693877551021,0.21292775665399238,0.12547528517110265,0.1596958174904943,0.7729037267080745,CMS4,TCGA,5,kNN
0.11764705882352941,0.9868995633187773,0.5714285714285708,0.8828125,0.5714285714285714,0.11764705882352941,0.1951219512195122,0.12927756653992395,0.015209125475285171,0.026615969581749048,0.5522733110711533,NOLBL,TCGA,5,kNN
0.7631578947368421,0.9777777777777777,0.8529411764705881,0.9606986899563319,0.8529411764705882,0.7631578947368421,0.8055555555555555,0.1444866920152091,0.11026615969581749,0.12927756653992395,0.87046783625731,CMS1,TCGA,7,kNN
1,0.643312101910828,0.6543209876543209,1,0.654320987654321,1,0.791044776119403,0.40304182509505704,0.40304182509505704,0.6159695817490495,0.821656050955414,CMS2,TCGA,7,kNN
0.4482758620689655,0.9871794871794872,0.8125000000000006,0.9352226720647774,0.8125,0.4482758620689655,0.5777777777777777,0.11026615969581749,0.049429657794676805,0.060836501901140684,0.7177276746242264,CMS3,TCGA,7,kNN
0.6071428571428571,0.9516908212560387,0.7727272727272727,0.8995433789954337,0.7727272727272727,0.6071428571428571,0.68,0.21292775665399238,0.12927756653992395,0.16730038022813687,0.7794168391994478,CMS4,TCGA,7,kNN
0.11764705882352941,0.9868995633187773,0.5714285714285708,0.8828125,0.5714285714285714,0.11764705882352941,0.1951219512195122,0.12927756653992395,0.015209125475285171,0.026615969581749048,0.5522733110711533,NOLBL,TCGA,7,kNN
0.7631578947368421,0.9866666666666667,0.9062500000000002,0.9610389610389611,0.90625,0.7631578947368421,0.8285714285714286,0.1444866920152091,0.11026615969581749,0.12167300380228137,0.8749122807017544,CMS1,TCGA,9,kNN
0.9716981132075472,0.6242038216560509,0.6358024691358024,0.9702970297029704,0.6358024691358025,0.9716981132075472,0.7686567164179104,0.40304182509505704,0.3916349809885932,0.6159695817490495,0.797950967431799,CMS2,TCGA,9,kNN
0.5172413793103449,0.9871794871794872,0.8333333333333338,0.9428571428571428,0.8333333333333334,0.5172413793103449,0.6382978723404256,0.11026615969581749,0.057034220532319393,0.06844106463878327,0.752210433244916,CMS3,TCGA,9,kNN
0.625,0.9420289855072463,0.7446808510638296,0.9027777777777778,0.7446808510638298,0.625,0.6796116504854368,0.21292775665399238,0.13307984790874525,0.17870722433460076,0.7835144927536232,CMS4,TCGA,9,kNN
0.08823529411764706,0.9956331877729258,0.7499999999999996,0.8803088803088803,0.75,0.08823529411764706,0.15789473684210525,0.12927756653992395,0.011406844106463879,0.015209125475285171,0.5419342409452864,NOLBL,TCGA,9,kNN
0.7631578947368421,0.9822222222222222,0.8787878787878789,0.9608695652173913,0.8787878787878788,0.7631578947368421,0.8169014084507042,0.1444866920152091,0.11026615969581749,0.12547528517110265,0.8726900584795322,CMS1,TCGA,11,kNN
1,0.6114649681528662,0.6347305389221557,1,0.6347305389221557,1,0.7765567765567766,0.40304182509505704,0.40304182509505704,0.6349809885931559,0.805732484076433,CMS2,TCGA,11,kNN
0.4827586206896552,0.9829059829059829,0.7777777777777773,0.9387755102040816,0.7777777777777778,0.4827586206896552,0.5957446808510638,0.11026615969581749,0.053231939163498096,0.06844106463878327,0.732832301797819,CMS3,TCGA,11,kNN
0.6428571428571429,0.9710144927536232,0.8571428571428571,0.9095022624434389,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.21292775665399238,0.13688212927756654,0.1596958174904943,0.806935817805383,CMS4,TCGA,11,kNN
0.058823529411764705,0.9956331877729258,0.6666666666666662,0.8769230769230769,0.6666666666666666,0.058823529411764705,0.10810810810810811,0.12927756653992395,0.0076045627376425855,0.011406844106463879,0.5272283585923452,NOLBL,TCGA,11,kNN
0.6052631578947368,0.9822222222222222,0.8518518518518517,0.9364406779661016,0.8518518518518519,0.6052631578947368,0.7076923076923076,0.1444866920152091,0.08745247148288973,0.10266159695817491,0.7937426900584795,CMS1,NS,3,kNN
0.9433962264150944,0.6878980891719745,0.6711409395973154,0.9473684210526316,0.6711409395973155,0.9433962264150944,0.784313725490196,0.40304182509505704,0.38022813688212925,0.5665399239543726,0.8156471577935345,CMS2,NS,3,kNN
0.4827586206896552,0.9615384615384616,0.6086956521739132,0.9375000000000001,0.6086956521739131,0.4827586206896552,0.5384615384615384,0.11026615969581749,0.053231939163498096,0.08745247148288973,0.7221485411140584,CMS3,NS,3,kNN
0.6428571428571429,0.9130434782608695,0.6666666666666666,0.9043062200956938,0.6666666666666666,0.6428571428571429,0.6545454545454545,0.21292775665399238,0.13688212927756654,0.20532319391634982,0.7779503105590062,CMS4,NS,3,kNN
0.11764705882352941,0.9737991266375546,0.40000000000000047,0.8814229249011858,0.4,0.11764705882352941,0.1818181818181818,0.12927756653992395,0.015209125475285171,0.03802281368821293,0.545723092730542,NOLBL,NS,3,kNN
0.7105263157894737,0.9866666666666667,0.9000000000000002,0.9527896995708154,0.9,0.7105263157894737,0.7941176470588235,0.1444866920152091,0.10266159695817491,0.11406844106463879,0.8485964912280701,CMS1,NS,5,kNN
0.9150943396226415,0.6178343949044586,0.6178343949044586,0.9150943396226415,0.6178343949044586,0.9150943396226415,0.7376425855513308,0.40304182509505704,0.3688212927756654,0.596958174904943,0.76646436726355,CMS2,NS,5,kNN
0.4482758620689655,0.9615384615384616,0.590909090909091,0.9336099585062241,0.5909090909090909,0.4482758620689655,0.5098039215686274,0.11026615969581749,0.049429657794676805,0.08365019011406843,0.7049071618037135,CMS3,NS,5,kNN
0.6071428571428571,0.9420289855072463,0.7391304347826085,0.8986175115207372,0.7391304347826086,0.6071428571428571,0.6666666666666666,0.21292775665399238,0.12927756653992395,0.17490494296577946,0.7745859213250517,CMS4,NS,5,kNN
0.058823529411764705,0.9737991266375546,0.2500000000000004,0.8745098039215686,0.25,0.058823529411764705,0.09523809523809523,0.12927756653992395,0.0076045627376425855,0.030418250950570342,0.5163113280246596,NOLBL,NS,5,kNN
0.7368421052631579,0.9866666666666667,0.9032258064516131,0.9568965517241379,0.9032258064516129,0.7368421052631579,0.8115942028985507,0.1444866920152091,0.10646387832699619,0.11787072243346007,0.8617543859649123,CMS1,NS,7,kNN
0.9716981132075472,0.5605095541401274,0.5988372093023255,0.967032967032967,0.5988372093023255,0.9716981132075472,0.7410071942446043,0.40304182509505704,0.3916349809885932,0.6539923954372624,0.7661038336738373,CMS2,NS,7,kNN
0.3448275862068966,0.9914529914529915,0.8333333333333338,0.9243027888446216,0.8333333333333334,0.3448275862068966,0.4878048780487806,0.11026615969581749,0.03802281368821293,0.045627376425855515,0.668140288829944,CMS3,NS,7,kNN
0.625,0.9468599033816425,0.7608695652173914,0.9032258064516129,0.7608695652173914,0.625,0.6862745098039216,0.21292775665399238,0.13307984790874525,0.17490494296577946,0.7859299516908212,CMS4,NS,7,kNN
0.029411764705882353,0.9956331877729258,0.4999999999999994,0.8735632183908046,0.5,0.029411764705882353,0.05555555555555555,0.12927756653992395,0.0038022813688212928,0.0076045627376425855,0.5125224762394041,NOLBL,NS,7,kNN
0.7105263157894737,0.9911111111111112,0.9310344827586211,0.9529914529914529,0.9310344827586207,0.7105263157894737,0.8059701492537312,0.1444866920152091,0.10266159695817491,0.11026615969581749,0.8508187134502925,CMS1,NS,9,kNN
0.9905660377358491,0.554140127388535,0.6,0.9886363636363638,0.6,0.9905660377358491,0.7473309608540926,0.40304182509505704,0.39923954372623577,0.6653992395437263,0.772353082562192,CMS2,NS,9,kNN
0.3448275862068966,0.9957264957264957,0.9090909090909094,0.9246031746031746,0.9090909090909091,0.3448275862068966,0.5000000000000001,0.11026615969581749,0.03802281368821293,0.04182509505703422,0.6702770409666962,CMS3,NS,9,kNN
0.625,0.9516908212560387,0.7777777777777778,0.9036697247706422,0.7777777777777778,0.625,0.6930693069306931,0.21292775665399238,0.13307984790874525,0.17110266159695817,0.7883454106280193,CMS4,NS,9,kNN
0.058823529411764705,0.9956331877729258,0.6666666666666662,0.8769230769230769,0.6666666666666666,0.058823529411764705,0.10810810810810811,0.12927756653992395,0.0076045627376425855,0.011406844106463879,0.5272283585923452,NOLBL,NS,9,kNN
0.7368421052631579,0.9955555555555555,0.9655172413793102,0.9572649572649573,0.9655172413793104,0.7368421052631579,0.835820895522388,0.1444866920152091,0.10646387832699619,0.11026615969581749,0.8661988304093566,CMS1,NS,11,kNN
1,0.4968152866242038,0.572972972972973,1,0.572972972972973,1,0.7285223367697595,0.40304182509505704,0.40304182509505704,0.7034220532319392,0.7484076433121019,CMS2,NS,11,kNN
0.2413793103448276,0.9957264957264957,0.8750000000000003,0.9137254901960785,0.875,0.2413793103448276,0.3783783783783784,0.11026615969581749,0.026615969581749048,0.030418250950570342,0.6185529030356617,CMS3,NS,11,kNN
0.5892857142857143,0.9758454106280193,0.868421052631579,0.8977777777777778,0.868421052631579,0.5892857142857143,0.7021276595744681,0.21292775665399238,0.12547528517110265,0.1444866920152091,0.7825655624568668,CMS4,NS,11,kNN
0.029411764705882353,0.9912663755458515,0.3333333333333328,0.8730769230769231,0.3333333333333333,0.029411764705882353,0.05405405405405406,0.12927756653992395,0.0038022813688212928,0.011406844106463879,0.5103390701258669,NOLBL,NS,11,kNN
